Afflalo;Arron;2013-14;ORL;18.2;3.4;3.6;0.5;0.0;2.0;13.8;1.8;4.1;3.8;4.6;0.4;6.4
Daye;Austin;2013-14;SAS;3.0;0.4;1.2;0.2;0.2;0.2;3.1;0.5;1.7;0.3;0.5;0.2;1.1
Rivers;Austin;2013-14;NOP;7.7;2.3;1.9;0.7;0.1;1.1;6.9;0.5;1.4;1.6;2.5;0.4;2.8
Bradley;Avery;2013-14;BOS;14.9;1.4;3.8;1.1;0.2;1.6;13.8;1.3;3.3;1.5;1.9;0.8;6.0
Gordon;Ben;2013-14;CHA;5.2;1.1;1.4;0.5;0.1;1.1;5.7;0.4;1.5;0.9;1.1;0.2;1.9
McLemore;Ben;2013-14;SAC;8.8;1.0;2.9;0.5;0.2;1.2;8.3;1.2;3.6;1.4;1.7;0.6;3.1
Udrih;Beno;2013-14;MEM;4.9;2.8;1.4;0.6;0.1;1.1;4.3;0.5;1.0;0.6;0.7;0.2;1.9
James;Bernard;2013-14;DAL;0.9;0.1;1.4;0.1;0.3;0.3;0.8;0.0;0.0;0.2;0.4;0.5;0.4
Biyombo;Bismack;2013-14;CHA;2.9;0.1;4.8;0.1;1.1;0.5;1.9;0.0;0.0;0.6;1.2;1.4;1.1
Griffin;Blake;2013-14;LAC;24.1;3.9;9.5;1.2;0.6;2.8;17.0;0.2;0.6;6.0;8.4;2.4;9.0
Diaw;Boris;2013-14;SAS;9.1;2.8;4.1;0.6;0.4;1.5;7.3;0.6;1.4;0.9;1.2;0.9;3.8
Beal;Bradley;2013-14;WAS;17.1;3.3;3.7;1.0;0.2;1.8;15.7;1.9;4.7;2.0;2.6;0.7;6.6
Wright;Brandan;2013-14;DAL;9.1;0.5;4.2;0.6;0.9;0.6;5.7;0.0;0.0;1.3;1.8;1.8;3.9
Bass;Brandon;2013-14;BOS;11.1;1.1;5.7;0.4;0.9;1.2;8.8;0.0;0.1;2.5;2.9;2.0;4.3
Davies;Brandon;2013-14;PHI;2.8;0.5;2.1;0.5;0.2;0.7;2.5;0.0;0.2;0.7;1.0;0.7;1.1
Jennings;Brandon;2013-14;DET;15.5;7.6;3.1;1.3;0.1;2.7;14.2;1.9;5.7;3.0;4.0;0.7;5.3
Knight;Brandon;2013-14;MIL;17.9;4.9;3.5;1.0;0.2;2.6;15.2;1.5;4.7;3.6;4.5;0.6;6.4
Rush;Brandon;2013-14;UTA;2.1;0.6;1.2;0.1;0.2;0.5;2.4;0.4;1.2;0.1;0.1;0.1;0.8
Roberts;Brian;2013-14;NOP;9.4;3.3;1.9;0.6;0.1;1.3;8.1;0.9;2.5;1.7;1.8;0.2;3.4
Lopez;Brook;2013-14;BKN;20.7;0.9;6.0;0.5;1.8;1.6;13.5;0.0;0.1;5.5;6.8;2.3;7.6
Mullens;Byron;2013-14;PHI;4.2;0.3;2.0;0.3;0.2;0.6;3.7;0.7;2.0;0.2;0.4;0.5;1.6
McCollum;CJ;2013-14;POR;5.3;0.7;1.3;0.4;0.1;0.9;4.7;0.8;2.1;0.6;0.9;0.2;1.9
Miles;CJ;2013-14;CLE;9.9;1.0;2.0;0.9;0.3;0.9;8.0;1.6;4.1;1.3;1.5;0.4;3.5
Watson;CJ;2013-14;IND;6.6;1.7;1.6;1.0;0.1;1.0;5.3;0.8;2.3;1.1;1.4;0.3;2.3
Landry;Carl;2013-14;SAC;4.2;0.3;3.2;0.2;0.1;0.5;3.3;0.0;0.0;0.8;0.9;0.8;1.7
Boozer;Carlos;2013-14;CHI;13.7;1.6;8.3;0.7;0.3;2.0;12.9;0.0;0.0;1.9;2.5;1.8;5.9
Anthony;Carmelo;2013-14;NYK;27.4;3.1;8.1;1.2;0.7;2.6;21.3;2.2;5.4;6.0;7.0;1.9;9.6
Butler;Caron;2013-14;OKC;10.5;1.5;4.1;0.8;0.3;1.1;9.6;1.8;4.4;1.1;1.3;0.4;3.8
Felix;Carrick;2013-14;CLE;2.7;0.6;0.9;0.0;0.0;0.6;2.0;0.3;0.7;0.4;0.6;0.1;1.0
Martin;Cartier;2013-14;ATL;5.6;0.6;1.9;0.5;0.1;0.6;4.5;1.0;2.6;0.8;1.1;0.2;1.9
Ware;Casper;2013-14;PHI;5.3;1.1;1.0;0.9;0.0;0.6;4.7;0.8;2.3;0.6;0.7;0.0;2.0
Parsons;Chandler;2013-14;HOU;16.6;4.0;5.5;1.2;0.4;1.9;13.3;1.8;4.7;2.2;3.0;0.9;6.3
Frye;Channing;2013-14;PHX;11.1;1.2;5.1;0.7;0.8;1.1;9.5;2.0;5.3;1.0;1.2;0.9;4.1
Hayes;Charles;2013-14;TOR;2.2;0.6;3.4;0.6;0.2;0.5;2.1;0.0;0.0;0.3;0.4;1.1;0.9
Villanueva;Charlie;2013-14;DET;4.6;0.3;1.7;0.2;0.3;0.4;4.6;0.7;2.8;0.4;0.7;0.3;1.8
Budinger;Chase;2013-14;MIN;6.7;0.8;2.5;0.5;0.0;0.6;6.2;1.0;2.9;0.8;1.0;0.5;2.4
Billups;Chauncey;2013-14;DET;3.8;2.2;1.5;0.4;0.1;1.3;4.2;0.7;2.5;0.5;0.6;0.2;1.3
Andersen;Chris;2013-14;MIA;6.6;0.3;5.3;0.4;1.3;0.7;3.8;0.0;0.2;1.7;2.3;1.8;2.5
Babb;Chris;2013-14;BOS;1.6;0.2;1.2;0.4;0.0;0.2;2.1;0.4;1.9;0.0;0.0;0.3;0.6
Bosh;Chris;2013-14;MIA;16.2;1.1;6.6;1.0;1.0;1.6;12.1;0.9;2.8;2.8;3.4;1.2;6.2
Copeland;Chris;2013-14;IND;3.7;0.4;0.8;0.1;0.2;0.3;2.9;0.8;1.9;0.2;0.3;0.2;1.3
Douglas-Roberts;Chris;2013-14;CHA;6.9;1.0;2.4;0.6;0.3;0.7;5.1;1.0;2.7;1.3;1.7;0.3;2.3
Johnson;Chris;2013-14;BOS;6.3;0.8;2.4;0.7;0.1;0.6;5.4;1.1;3.2;0.9;1.1;0.8;2.1
Kaman;Chris;2013-14;LAL;10.4;1.5;5.9;0.3;1.0;1.9;8.9;0.0;0.1;1.3;1.7;1.4;4.5
Paul;Chris;2013-14;LAC;19.1;10.7;4.3;2.5;0.1;2.3;14.0;1.3;3.4;4.8;5.6;0.6;6.5
Singleton;Chris;2013-14;WAS;3.0;0.2;2.2;0.4;0.1;0.7;2.7;0.3;0.8;0.7;1.0;0.7;1.0
Smith;Chris;2013-14;NYK;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Wright;Chris;2013-14;MIL;6.0;0.6;2.5;0.9;0.6;0.6;4.4;0.0;0.1;0.8;1.9;1.3;2.6
Zeller;Cody;2013-14;CHA;6.0;1.1;4.3;0.5;0.5;1.1;4.9;0.0;0.0;1.8;2.4;1.4;2.1
Aldrich;Cole;2013-14;NYK;2.0;0.3;2.8;0.2;0.7;0.4;1.3;0.0;0.0;0.6;0.7;0.8;0.7
Brewer;Corey;2013-14;MIN;12.3;1.7;2.6;1.9;0.4;1.3;10.0;0.7;2.6;2.0;2.8;0.8;4.8
Joseph;Cory;2013-14;SAS;5.0;1.7;1.6;0.5;0.2;0.6;3.9;0.2;0.6;1.2;1.4;0.5;1.9
